House,Duration,Peak,Volume,Outdoor_Events_x,Above_avg_vol,Above_avg_dur,Above_avg_peak,Outdoor_Events_y,City,Region,Outdoor_User
547,40110,761.03,1335.02,0,1,1,1,6,San Antonio,Southwest,1
549,59360,939.04,1462.87,0,1,1,1,4,San Antonio,Southwest,1
550,40630,776.75,593.33,0,0,1,1,3,San Antonio,Southwest,1
552,40340,709.99,746.3,0,1,1,0,0,San Antonio,Southwest,0
553,23480,475.49,518.778,0,0,0,0,4,San Antonio,Southwest,1
555,15260,223.73,324.94,0,0,0,0,7,San Antonio,Southwest,1
557,33350,463.98,819.47,0,1,0,0,3,San Antonio,Southwest,1
558,65130,837.66,2375.52,0,1,1,1,0,San Antonio,Southwest,0
559,43510,468.85,651.68,0,0,1,0,4,San Antonio,Southwest,1
560,30950,561.84,683.11,0,0,0,0,9,San Antonio,Southwest,1
561,41000,949.06,1145.55,0,1,1,1,1,San Antonio,Southwest,1
562,6160,63.03,132.42,0,0,0,0,13,San Antonio,Southwest,1
563,6700,132.71,88.07,0,0,0,0,1,San Antonio,Southwest,1
564,18270,622,370.96,0,0,0,0,0,San Antonio,Southwest,0
566,24670,547.88,566.62,0,0,0,0,6,San Antonio,Southwest,1
572,45880,1528.02,904.07,0,1,1,1,43,San Antonio,Southwest,1
573,6050,108.02,106.35,0,0,0,0,1,San Antonio,Southwest,1
574,27510,528.84,496.17,0,0,0,0,12,San Antonio,Southwest,1
575,30030,303.09,734.34,0,1,0,0,1,San Antonio,Southwest,1
576,13830,184.49,292.1,0,0,0,0,0,San Antonio,Southwest,0
578,19430,316.58,331.85,0,0,0,0,5,San Antonio,Southwest,1
579,47610,465.56,1063.88,0,1,1,0,16,San Antonio,Southwest,1
580,7730,158.84,155.1,0,0,0,0,0,San Antonio,Southwest,0
582,57610,746.51,1261.51,0,1,1,1,2,San Antonio,Southwest,1
583,14670,305.34,274.15,0,0,0,0,1,San Antonio,Southwest,1
584,11470,237.69,259.68,0,0,0,0,8,San Antonio,Southwest,1
585,33340,720.59,993.3,0,1,0,0,15,San Antonio,Southwest,1
586,24670,401.48,620.57,0,0,0,0,1,San Antonio,Southwest,1
587,16960,398.59,710.07,0,1,0,0,18,San Antonio,Southwest,1
588,63130,1097.6,1208.55,0,1,1,1,5,San Antonio,Southwest,1
589,24400,655.93,605.01,0,0,0,0,15,San Antonio,Southwest,1
590,8700,174.06,184.99,0,0,0,0,4,San Antonio,Southwest,1
591,11270,291.89,267.31,0,0,0,0,1,San Antonio,Southwest,1
592,22260,645.4,369.75,0,0,0,0,0,San Antonio,Southwest,0
593,10880,184.05,259.32,0,0,0,0,4,San Antonio,Southwest,1
594,42550,446.16,653.36,0,0,1,0,1,San Antonio,Southwest,1
595,44340,572.94,548.5,0,0,1,0,11,San Antonio,Southwest,1
596,17390,347.59,400.22,0,0,0,0,11,San Antonio,Southwest,1
597,3370,52.39,66.67,0,0,0,0,0,San Antonio,Southwest,0
598,44970,505.88,630.06,0,0,1,0,2,San Antonio,Southwest,1
600,35020,627.1,365.47,0,0,0,0,4,San Antonio,Southwest,1
601,690,8.7,15.36,0,0,0,0,0,San Antonio,Southwest,0
602,53310,846.1,1150.66,0,1,1,1,1,San Antonio,Southwest,1
603,2930,75.91,68.48,0,0,0,0,0,San Antonio,Southwest,0
604,7150,83.36,252.07,0,0,0,0,0,San Antonio,Southwest,0
605,16070,280.28,450.77,0,0,0,0,15,San Antonio,Southwest,1
606,44670,616.09,992.78,0,1,1,0,2,San Antonio,Southwest,1
607,30540,513.84,807.41,0,1,0,0,5,San Antonio,Southwest,1
609,8810,148.51,177.1,0,0,0,0,2,San Antonio,Southwest,1
610,25270,720.58,594.42,0,0,0,0,21,San Antonio,Southwest,1
704,21250,316.89,423.16,0,0,0,0,4,Clayton County,Southeast,1
705,35660,763.84,532.39,0,0,0,1,2,Clayton County,Southeast,1
706,27650,376.25,580.4,0,0,0,0,1,Clayton County,Southeast,1
